a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u
1,अ,नागरी वर्णमाला का प्रथम अक्षर
2,अः,"विष्णु, पवित्र, 'ओम्' को प्रकट करने वाले तीन ध्वनियों मे से पहली ध्वनि, अकारो विष्णुरुद्दिष्ट उकारस्तु महेश्वरः। स्मृतो ब्रह्मा प्रणवस्तु त्रयात्मकः, अ+उ+म्","शिव, ब्रह्मा, वायु, या वैश्वानर","निषेधात्मक अव्ययलैटिन के इन in अंग्रेजी के in या अन un तथा यूनानी के a या un के समान नकारात्मक अर्थ देने वाला उपसर्ग है जो कि निषेधात्मक अव्यय नञ् के स्थान पर संज्ञाओं, विशेषणों एवं अव्ययों के क्रियाओं के पूर्व पूर्व लगाया जाता है। यह 'अ' ही 'अऋणिन्' शब्द को छोड़कर शेष स्वरादि शब्दों से पूर्व 'अन्' बन जाता है।'न' के सामान्यतया छः अर्थ गिनाये गये हैं : - क सादृश्य = समानता या सरूपता यथा 'अब्राह्मणः' ब्राह्मण के समान जनेऊ आदि पहने हुए परन्तु ब्राह्मण न होकर्, क्षत्रिय वैश्य आदि। ख अभाव = अनुपस्थिति, निषेध, अभाव, अविद्यमानता यथा अज्ञानम् ज्ञान का न होना, इसी प्रकार, अक्रोधः, अनंगः, अकंटकः, अघटः आदि। ग भिन्न्ता = अन्तर या भेद यथा 'अपटः' कपड़ा नहीं, कपड़े से भिन्न या अन्य कोई वस्तु। घ अल्पता = लघुता, न्यूनता, अल्पार्थवाची अव्यय के रूप में प्र्युक्त होता है-यथा 'अनुदरा' पतली कमर वाली कृशोदरी या तनुमध्यमा । च अप्राशअत्य = बुराई, अयोग्यता तथा लघूकरण का अर्थ प्रकट करना - यथा 'अकालः' गलत या अनुपयुक्त समय; 'अकार्यम्' न करने य्प्ग्य, अनुचित, अयोग्य या बुरा काम। छ विरोध = विरोधी प्रतिक्रिया, वैपरीत्य यथा '
अनीतिः' नीति-विरुद्धता, अनैतिकता, 'असित' जो श्वेत न हो, काला। उपर्युक्त छः अर्थ निम्नांकित श्लोक में एकत्र संकलित हैं - तत्सादृश्यमभावश्च तदन्यत्वं तदल्पता। अप्राशस्त्यं विरोधश्च नञर्थाः षट् प्रकीर्तिताः॥ दे* 'न' भी। कृदन्त शब्दों के सथ इसका अर्थ समान्यतः नहीं होता है यथा 'अदग्ध्वा' न जलाकर, 'अपश्यन्' न देखते हुए। इसी प्रकार 'असकृत्' एक बार नहीं। कभी-कभी 'अ' उत्तरपद के अर्थ को प्रभावित नहीं करता यथा 'अमूल्य', 'अनुत्तम', यथास्थान।","विस्मयादि द्योतक अव्ययविस्मयादि द्योतक अव्यय - यथा क 'अ अवद्यम्' यहाँ दया आह, अरे ख 'अ पचसि त्वं जाल्म' यहाँ भर्त्सना, निंदा धिक्, छिः अर्थ को प्रकट करता है। दे* 'अकरणि' 'अजीवनि' भी।","रूप रचना के समय धातु के पूर्व आगम भूतकाल के लकारों लङ्, लुङ् और लृङ् की रूप रचना के समय धातु के पूर्व आगम के रूप में जोड़ा जाता है यथा अगच्छत्, अगमत्, अगमिष्यत् में।"
3,अऋणिन्,"जो कर्जदार न हो, ऋणमुक्त  यहाँ 'ऋ' को व्यंजन ध्वनि माना गया  'अनृणिन्' शब्द भी इसी अर्थ में प्रयुक्त होता है।"
4,अंश्,"बांटना, वितरण करना, आपस में हिस्सा बांटना, 'अंशापयति' भी इसी अर्थ में प्रयुक्त होता है"
5,अंशः,"हिस्सा, भाग, टुकड़ा, अंशतः, सकृदंशो निपतति-","संपत्ति में हिस्सा, दायस्वतोंऽशतः-","भिन्न की संख्या, कभी-कभी भिन्न के लिए भी प्रयुक्त",अक्षांश या रेखांश की कोटि,"कंधा सामान्यतः कंधे के अर्थ में, 'अंस' का प्रयोग होता है- दे*"
6,अंशकः,"हिस्सेदार, सहदायभागी, संबंधी","हिस्सा, खण्ड, भाग"
7,अंशकम्,सौर दिवस
8,अंशनम्,बांटने की क्रिया
9,अंशयितृ,"विभाजक, बांटने वाला"
10,अंशल,"साझीदार, हिस्सा पाने का अधिकारी","बलवान्, ह्र्ष्टपुष्ट, शक्तिशाली मजबूत कंधों वाला"
11,अंशिन्,"हिस्सेदार, सहदायभागी सर्वे व स्युः समांशिनः-","भागों वाला, साझीदार"
12,अंशुः,"किरण, प्रकाशकिरण",बिन्दु या किनारा,एक छोटा या सूक्ष्म कण,धागे का छोर,"पोशाक, सजावट, परिधान",गति
13,अंशुकम्,"कपड़ा, सामान्यतः पोशाक, सितांशुका -",महीन या सफेद कपड़ा -,"ऊपर ओढ़ा जाने वाला वस्त्र, लबादा, अधोवस्त्र भी",पत्ता,प्रकाश की मन्द लौ
14,अंशुमत्,"प्रभायुक्त, चमकदार, ज्योतिषां रविरंशुमान् -",नोकदार
15,अंशुमान्,"सूर्य, बालखिल्यैरिवांशुमान् -","सगर का पौत्र, दिलीप का पिता और असमंजस का पुत्र"
16,अंशुमत्फला,केले का पौधा
17,अंशुल,"चमकदार, प्रभायुक्त"
18,अंशुलः,चाणक्य मुनि
19,अंस्,"बांटना, वितरण करना, आपस में हिस्सा बांटना"
20,अंसः,"भाग, खंड","कंधा, अंसफलक, कंधे की हड्डी"
21,अंसल,"बलवान्, ह्र्ष्टपुष्ट, शक्तिशाली मजबूत कंधों वाला, यूवा युगव्यायतबाहुरंसलः -"
22,अंह्,"जाना, समीप जाना, प्रयाण करना, आरम्भ करना",भेजना,चमकना,बोलना
23,अंहतिः,"भेंट, उपहार","व्याकुलता, कष्ट, चिन्ता, दुःख, बीमारी वेद*"
24,अंहती,"भेंट, उपहार","व्याकुलता, कष्ट, चिन्ता, दुःख, बीमारी वेद*"
25,अंहस्,पाप सहसा संहतिमंहसां विहन्तु…….अलम्-,"व्याकुलता, कष्ट, चिन्ता"
26,अंहितिः,"उपहार, दान"
27,अंहिती,"उपहार, दान"
28,अंह्रिः,पैर,पेड़ की जड़तु* अंघ्रि,चार की संख्या
29,अक्,"जाना, सांप की तरह टेढ़ा-मेढ़ा चलना"
30,अकम्,"सुख का अभाव, पीड़ा, विपत्ति, पाप"
31,अकच्,गंजा
32,अकचः,"केतु, अवपतनशील शिरोबिन्दु"
33,अकनिष्ठ,"जो सबसे छोटा न हो, बड़ा, श्रेष्ठ, जैसे सबसे बड़ा, मंझला"
34,अकनिष्ठः,गौतम बुद्ध
35,अकन्या,"जो कुमारी न हो, जो अब कुमारी न रही हो"
36,अकर,"लूला, अपाहिज",कर या चुंगी से मुक्त,"अक्रिय, निकम्मा, अकर्मण्य"
37,अकरणम्,"अक्रिया, कार्य का अभाव, अकरणात् मन्दकरणं श्रेयः-"
38,अकरणिः,"असफलता, निराशा, अप्राप्ति, अधिकांशतः कोसने या शाप देने में प्रयुक्त, तस्याकरणिरेवास्तु -"
39,अकर्ण,"जिसके कान न हों, बहरा",कर्णरहित
40,अकर्णः,साँप
41,अकर्तन,ठिंगना
42,अकर्मन्,"निष्क्रिय, आलसी, निकम्मा","दुष्ट, पतित",अकर्मक
43,अकर्म,कार्य का अभाव,"अनुचित कार्य, दोष, पाप"
44,अकर्मक,"वह क्रिया जिसका कर्म न हो, स्त्री - अकर्मिका"
45,अकल,"अखंड, भागरहित, परब्रह्म की उपाधि"
46,अकल्क,"तलछट रहित, शुद्ध"
47,अकल्का,"निष्पाप चाँदनी, चन्द्रमा का प्रकाश"
48,अकल्प,"अनियंत्रित, जिस पर कोई नियंत्रण न हो","दुर्बल, अयोग्य",अतुलनीय
49,अकस्मात्,"अचानक, एकाएक, सहसा आकस्मिक रूप से, अकारण, बिना किसी कारण के, व्यर्थ ही, अकस्मादागंतुना सह विश्वासो न युक्तः -"
50,अकाण्ड,"आकस्मिक, अप्रत्याशित, सहसा पुनरकांडविवर्तनदारुणः -",जिसमें तना या डाली न हो
